name,id,class,mass,fall,year,reclat,reclong
Asco,2345,H6,41.0,Fell,1805,42.45,9.03333
Ash Creek,48954,L6,9500.0,Fell,2009,31.805,-97.01
Ashdon,2346,L6,1300.0,Fell,1923,52.05,0.3
Assisi,2353,H5,2000.0,Fell,1886,43.03333,12.55
Atarra,4883,L4,1280.0,Fell,1920,25.25417,80.625
Atemajac,4884,L6,94.2,Fell,1896,20.06667,-103.66667
Athens,4885,LL6,265.0,Fell,1933,34.75,-87.0
Atoka,4888,L6,1384.2,Fell,1945,34.31667,-96.15
Aubres,4893,Aubrite,800.0,Fell,1836,44.38333,5.16667
Aumale,4899,L6,50000.0,Fell,1865,36.16667,3.66667
Aumieres,4900,L6,2000.0,Fell,1842,44.33333,3.23333
Ausson,4903,L5,50000.0,Fell,1858,43.08333,0.58333
Avanhandava,4905,H4,9330.0,Fell,1952,-21.46028,-49.95083
Avce,4906,"Iron, IIAB",1230.0,Fell,1908,46.0,13.5
Avilez,4907,H,146.0,Fell,1855,25.0,-103.5
Awere,4910,L4,134.0,Fell,1968,2.71667,32.83333
Aztec,4913,L6,2830.0,Fell,1938,36.8,-108.0
Bachmut,4917,L6,18000.0,Fell,1814,48.6,38.0
Bahjoi,4922,"Iron, IAB-sLL",10322.0,Fell,1934,28.48333,78.5
Bald Mountain,4925,L4,3700.0,Fell,1929,35.96667,-82.48333
Baldwyn,4926,L6,345.0,Fell,1922,34.5,-88.66667
Bali,4928,CV3,1000.0,Fell,1907,5.38333,16.38333
Ban Rong Du,4934,"Iron, ungrouped",16700.0,Fell,1993,16.66667,101.18333
Bandong,4935,LL6,11500.0,Fell,1871,-6.91667,107.6
Bansur,4936,L6,15000.0,Fell,1892,27.7,76.33333
Banswal,4937,L5,14.0,Fell,1913,30.4,78.2
Banten,4938,CM2,629.0,Fell,1933,-6.33333,106.0
Barbotan,4942,H5,6400.0,Fell,1790,43.95,-0.05
Barcelona (stone),4944,OC,,Fell,1704,41.36667,2.16667
Barea,4946,Mesosiderite-A1,3200.0,Fell,1842,42.38333,-2.5
Barnaul,4947,H5,23.2,Fell,1904,52.73333,84.08333
Barntrup,4948,LL4,17.0,Fell,1886,52.0,9.1
Baroti,4949,L6,4500.0,Fell,1910,31.61667,76.8
Barwell,4954,L5,44000.0,Fell,1965,52.56528,-1.33972
Bassikounou,44876,H5,29560.0,Fell,2006,15.78333,-5.9
Baszkówka,4957,L5,15500.0,Fell,1994,52.03333,20.93583
Bath,4974,H4,21000.0,Fell,1892,45.41667,-98.31667
Bath Furnace,4975,L6,86000.0,Fell,1902,38.25,-83.75
Battle Mountain,56133,L6,2900.0,Fell,2012,40.66813,-117.18913
Bawku,4976,LL5,1557.0,Fell,1989,11.08333,-0.18333
Baxter,4977,L6,611.0,Fell,1916,36.75,-93.5
Beardsley,4984,H5,16000.0,Fell,1929,39.8,-101.2
Beaver Creek,4986,H5,14000.0,Fell,1893,51.16667,-117.33333
Beddgelert,4993,H5,794.0,Fell,1949,53.01667,-4.1
Bells,5005,C2-ung,375.0,Fell,1961,33.6,-96.46667
Belville,5009,OC,,Fell,1937,-32.33333,-64.86667
Benares (a),5011,LL4,3700.0,Fell,1798,25.36667,82.91667
Benguerir,30443,LL6,25000.0,Fell,2004,32.25,-8.15
Beni M'hira,5018,L6,19000.0,Fell,2001,32.86667,10.8
Benld,5021,H6,1770.5,Fell,1938,39.08333,-89.15
Benoni,5023,H6,3880.0,Fell,1943,-26.16667,28.41667
Bensour,5024,LL6,45000.0,Fell,2002,30.0,-7.0
Benton,5026,LL6,2840.0,Fell,1949,45.95,-67.55
Berduc,48975,L6,270.0,Fell,2008,-31.91,-58.32833
Béréba,5028,Eucrite-mmict,18000.0,Fell,1924,11.65,-3.65
Berlanguillas,5029,L6,1440.0,Fell,1811,41.68333,-3.8
Berthoud,47355,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325
Bethlehem,5032,H,13.9,Fell,1859,42.53333,-73.83333
Beuste,5034,L5,2000.0,Fell,1859,43.21667,-0.23333
Beyrout,5035,LL3.8,1100.0,Fell,1921,33.88333,35.5
Bhagur,5037,L6,18.0,Fell,1877,20.88333,74.83333
Bhawad,36591,LL6,678.0,Fell,2002,26.50833,73.11528
Bherai,5039,L6,100.0,Fell,1893,20.83333,71.46667
Bhola,5040,LL3-6,1047.0,Fell,1940,22.68333,90.65
Bholghati,5041,Howardite,2500.0,Fell,1905,22.08333,86.9
Bialystok,5042,Eucrite-pmict,4000.0,Fell,1827,53.1,23.2
Bielokrynitschie,5043,H4,1900.0,Fell,1887,50.13333,27.16667
Bilanga,5045,Diogenite,25000.0,Fell,1999,12.45,-0.08333
Binningup,5051,H5,488.1,Fell,1984,-33.15639,115.67639
Birni N'konni,5056,H4,560.0,Fell,1923,13.76667,5.3
Bishopville,5059,Aubrite,6000.0,Fell,1843,34.16667,-80.28333
Bishunpur,5060,LL3.15,1039.0,Fell,1895,25.38333,82.6
Bjelaja Zerkov,5063,H6,1850.0,Fell,1796,49.78333,30.16667
Bjurböle,5064,L/LL4,330000.0,Fell,1899,60.4,25.8
Black Moshannan Park,5065,L5,705.0,Fell,1941,40.91667,-78.08333
Blackwell,5068,L5,2381.0,Fell,1906,36.83333,-97.33333
Blanket,5071,L6,5100.0,Fell,1909,31.83333,-98.83333
Blansko,5072,H6,470.0,Fell,1833,49.36667,16.63333
Bloomington,5076,LL6,67.8,Fell,1938,40.48,-89.00417
Bo Xian,5090,LL3.9,7500.0,Fell,1977,33.83333,115.83333
Bocas,5093,L6,56.0,Fell,1804,23.0,-102.0
Bogou,5097,"Iron, IAB-MG",8800.0,Fell,1962,12.5,0.7
Boguslavka,5098,"Iron, IIAB",256000.0,Fell,1916,44.55,131.63333
Borgo San Donino,5110,LL6,1676.0,Fell,1808,44.86667,10.05
Bori,5111,L6,8600.0,Fell,1894,21.95,78.03333
Boriskino,5112,CM2,1342.0,Fell,1930,54.23333,52.48333
Borkut,5113,L5,7000.0,Fell,1852,48.15,24.28333
Borodino,5114,H5,500.0,Fell,1812,55.46667,35.86667
Botschetschki,5117,L4,614.0,Fell,1823,51.33333,33.88333
Boumdeid (2003),57168,L6,190.0,Fell,2003,17.71067,-11.3715
Boumdeid (2011),57167,L6,3599.0,Fell,2011,17.17493,-11.34133
Bovedy,5121,L3,5460.0,Fell,1969,54.56667,-6.33333
Bradford Woods,5128,L,762.0,Fell,1886,40.5,-80.08333
Braunau,5133,"Iron, IIAB",39000.0,Fell,1847,50.6,16.3
Breitscheid,5134,H5,1500.0,Fell,1956,50.66694,8.18361
Bremervörde,5135,H/L3.9,7250.0,Fell,1855,53.4,9.1
Brient,5140,Eucrite-pmict,219.0,Fell,1933,52.13333,59.31667
Bruderheim,5156,L6,303000.0,Fell,1960,53.9,-112.88333
Bukhara,30448,CV3,5300.0,Fell,2001,39.77978,64.60035
Bunburra Rockhole,48653,Eucrite,324.0,Fell,2007,-31.35,129.19
Bununu,5165,Howardite,357.0,Fell,1942,10.01667,9.58333
Bur-Gheluai,5169,H5,120000.0,Fell,1919,5.0,48.0
Burnwell,5175,H4-an,1504.0,Fell,1990,37.62194,-82.23722
Bursa,5177,L6,25000.0,Fell,1946,40.2,29.23333
Buschhof,5178,L6,5000.0,Fell,1863,46.45,25.78333
Bustee,5181,Aubrite,1500.0,Fell,1852,26.78333,82.83333
Butsura,5183,H6,29000.0,Fell,1861,27.08333,84.08333
Buzzard Coulee,48654,H4,41000.0,Fell,2008,52.996,-109.84817
Cabezo de Mayo,5185,L/LL6,25000.0,Fell,1870,37.98333,-1.16667
Cabin Creek,5186,"Iron, IIIAB",48500.0,Fell,1886,35.5,-93.5
Cacak,5187,OC,212.0,Fell,1919,43.83889,20.33333
Cali,45976,H/L4,478.0,Fell,2007,3.405,-76.51
Calivo,5200,Stone-uncl,2400.0,Fell,1916,11.75,122.33333
Campos Sales,5249,L5,23680.0,Fell,1991,-7.03333,-40.16667
Çanakkale,5250,L6,4000.0,Fell,1964,39.8,26.6
Cañellas,5251,H4,945.0,Fell,1861,41.25,1.66667
Cangas de Onis,5252,H5,34000.0,Fell,1866,43.38333,-5.15
Canon City,5253,H6,1400.0,Fell,1973,38.47028,-105.24139
Cape Girardeau,5260,H6,2300.0,Fell,1846,37.26667,-89.58333
Capilla del Monte,5264,H6,750.0,Fell,1934,-30.88333,-64.55
Carancas,45817,H4-5,342.0,Fell,2007,-16.66444,-69.04389
Caratash,5265,LL6,8.0,Fell,1902,38.5,27.0
Castalia,5291,H5,7300.0,Fell,1874,36.08333,-78.06667
Castel Berardenga,5292,Stone-uncl,,Fell,1791,43.35,11.5
Castine,5293,L6,94.0,Fell,1848,44.38333,-68.75
Castrovillari,5295,Stone-uncl,15000.0,Fell,1583,39.8,16.2
Caswell County,5296,OC,1360.0,Fell,1810,36.5,-79.25
Ceniceros,5306,L3.7,1025.0,Fell,1988,26.46667,-105.23333
Centerville,5307,H5,45.6,Fell,1956,43.2,-96.91667
Cereseto,5308,H5,6460.0,Fell,1840,45.08333,8.3
Chadong,5313,L6,3700.0,Fell,1998,28.53333,109.31667
Chail,5314,H6,0.5,Fell,1814,25.36667,81.66667
Chainpur,5315,LL3.4,8200.0,Fell,1907,25.85,83.48333
Chajari,5316,L5,18300.0,Fell,1933,-30.78333,-58.05
Chandakapur,5320,L5,8800.0,Fell,1838,20.26667,76.01667
Chandpur,5321,L6,1100.0,Fell,1885,27.28333,79.05
Changde,5322,H5,1810.0,Fell,1977,29.08333,111.75
Chantonnay,5325,L6,31500.0,Fell,1812,46.68333,1.05
Charlotte,5328,"Iron, IVA",4300.0,Fell,1835,36.16667,-87.33333
Charsonville,5329,H6,27000.0,Fell,1810,47.93333,1.56667
Charwallas,5330,H6,12000.0,Fell,1834,29.48333,75.5
Chassigny,5331,Martian (chassignite),4000.0,Fell,1815,47.71667,5.36667
Château-Renard,5332,L6,30000.0,Fell,1841,47.93333,2.91667
Chaves,5334,Howardite,2945.0,Fell,1925,41.93333,-7.46667
Chela,5338,H4,2936.0,Fell,1988,-3.66667,32.5
Chelyabinsk,57165,LL5,100000.0,Fell,2013,54.81667,61.11667
Chergach ,47347,H5,100000.0,Fell,2007,23.69639,-5.01472
Chernyi Bor,5339,H4,6000.0,Fell,1964,53.7,30.1
Cherokee Springs,5340,LL6,8400.0,Fell,1933,35.03333,-81.88333
Chervettaz,5341,L5,705.0,Fell,1901,46.55,6.81667
Chervony Kut,5342,Eucrite-mmict,1700.0,Fell,1939,50.83333,34.0
Chetrinahatti,5344,Stone-uncl,72.0,Fell,1880,14.5,76.5
Chiang Khan,5345,H6,367.0,Fell,1981,17.9,101.63333
Chicora,5349,LL6,303.0,Fell,1938,40.93333,-79.73333
Chisenga,5355,"Iron, IIIAB",3920.0,Fell,1988,-10.05944,33.395
Chitado,5356,L6,,Fell,1966,-17.35,13.96667
Chitenay,5357,L6,4000.0,Fell,1978,47.47083,0.97667
Cilimus,5364,L5,1600.0,Fell,1979,-6.95,108.1
Claxton,5374,L6,1455.0,Fell,1984,32.1025,-81.87278
Colby (Wisconsin),5395,L6,104000.0,Fell,1917,44.9,-90.28333
Cold Bokkeveld,5397,CM2,5200.0,Fell,1838,-33.13333,19.38333
Coleman,5401,L6,469.0,Fell,1994,43.76111,-84.50778
Collescipoli,5403,H5,5000.0,Fell,1890,42.53333,12.61667
Conquista,5418,H4,20350.0,Fell,1965,-19.85,-47.55
Cosina,5451,H5,1200.0,Fell,1844,21.16667,-100.86667
Cranganore,5465,L6,1460.0,Fell,1917,10.2,76.26667
Crescent,5470,CM2,78.4,Fell,1936,35.95,-97.58333
Cronstad,5474,H5,3650.0,Fell,1877,-27.7,27.3
Cross Roads,5476,H5,167.0,Fell,1892,35.63333,-78.13333
Crumlin,5477,L5,4255.0,Fell,1902,54.61667,-6.21667
Cumberland Falls,5496,Aubrite,17000.0,Fell,1919,36.83333,-84.35
Cynthiana,5500,L/LL4,6000.0,Fell,1877,38.4,-84.25
Dahmani,5504,LL6,18000.0,Fell,1981,35.61667,8.83333
Dandapur,5511,L6,5650.0,Fell,1878,26.91667,83.96667
Daniel's Kuil,5513,EL6,1064.0,Fell,1868,-28.2,24.56667
Danville,5514,L6,2000.0,Fell,1868,34.4,-87.06667
Darmstadt,6603,H5,100.0,Fell,1804,49.86667,8.65
Dashoguz,6604,H5,7000.0,Fell,1998,41.98444,59.685
Daule,51559,L5,6580.0,Fell,2008,-1.87089,-79.95756
De Cewsville,6621,H6,340.0,Fell,1887,43.0,-80.0
Deal,6634,L6,28.0,Fell,1829,40.25,-74.0
Delhi,6642,L5,0.8,Fell,1897,28.56667,77.25
Demina,6649,L6,16400.0,Fell,1911,51.46667,84.76667
Denver,6660,L6,230.0,Fell,1967,39.7825,-104.93056
Dergaon,6664,H5,12500.0,Fell,2001,26.68333,93.86667
Desuri,6693,H6,25400.0,Fell,1962,25.73333,73.61667
Devgaon,6694,H3.8,12000.0,Fell,2001,19.0,81.0
Devri-Khera,6696,L6,1140.0,Fell,1994,24.225,76.525
Dhajala,6698,H3.8,45000.0,Fell,1976,22.37778,71.42722
Dharwar,6699,OC,1800.0,Fell,1848,14.88333,75.6
Dhurmsala,7640,LL6,32000.0,Fell,1860,32.23333,76.46667
Didim,47350,H3-5,3396.0,Fell,2007,37.35172,27.32997
Diep River,7642,L6,1000.0,Fell,1906,-33.75,18.56667
Distrito Quebracho,7649,H4,400.0,Fell,1957,-31.88333,-60.46667
Djati-Pengilon,7652,H6,166000.0,Fell,1884,-7.5,111.5
Djermaia,7656,H,3950.0,Fell,1961,12.73333,15.05
Djoumine,7657,H5-6,10000.0,Fell,1999,36.95,9.55
Dokachi,7658,H5,3840.0,Fell,1903,23.5,90.33333
Dolgovoli,7659,L6,1600.0,Fell,1864,50.75,25.3
Domanitch,7661,L5,438.0,Fell,1907,40.0,29.0
Dong Ujimqin Qi,7706,Mesosiderite,128800.0,Fell,1995,45.5,119.03333
Donga Kohrod,7707,H6,230.0,Fell,1899,21.86667,82.45
Dongtai,7708,LL6,5500.0,Fell,1970,32.91667,120.78333
Doroninsk,7718,H5-7,3891.0,Fell,1805,51.2,112.3
Dosso,7722,L6,1250.0,Fell,1962,13.05,3.16667
Douar Mghila,7723,LL6,1161.0,Fell,1932,32.33333,-6.3
Dowa,7725,Stone-uncl,642.0,Fell,1976,-13.66667,33.91667
Drake Creek,7728,L6,5000.0,Fell,1827,36.4,-86.5
Dresden (Ontario),7731,H6,47700.0,Fell,1939,42.52,-82.26
Dubrovnik,7736,L3-6,1900.0,Fell,1951,42.45833,18.44167
Dunbogan,7743,L6,30.0,Fell,1999,-31.66667,152.83333
Dundrum,7745,H5,2270.0,Fell,1865,52.55,-8.03333
Dunhua,7749,Stone-uncl,,Fell,1976,43.33333,128.25
Durala,7750,L6,13200.0,Fell,1815,30.3,76.63333
Duruma,7752,L6,577.0,Fell,1853,-4.0,39.5
Duwun,7754,L6,2117.0,Fell,1943,33.43333,127.26667
Dwaleni,7755,H4-6,3230.0,Fell,1970,-27.2,31.31667
Dyalpur,7757,Ureilite,300.0,Fell,1872,26.25,82.0
Dyarrl Island,7758,Mesosiderite-A1,188.0,Fell,1933,-3.0,151.0
Eagle,7760,EL6,10000.0,Fell,1947,40.78167,-96.47167
Ehole,7774,H5,2400.0,Fell,1961,-17.3,15.83333
Eichstädt,7775,H5,3000.0,Fell,1785,48.9,11.21667
Ekeby,7776,H4,3336.0,Fell,1939,56.03333,13.0
Ekh Khera,7777,H6,840.0,Fell,1916,28.26667,78.78333
El Idrissia,7807,L6,10000.0,Fell,1989,34.41667,3.25
El Paso de Aguila,45977,H5,17226.0,Fell,1977,25.37,-97.37
El Tigre,7819,L6,5000.0,Fell,1993,19.96722,-103.05167
Elbert,7822,LL6,680.5,Fell,1998,39.24667,-104.58817
Elbogen,7823,"Iron, IID",107000.0,Fell,1399,50.18333,12.73333
Elenovka,7824,L5,54640.0,Fell,1951,47.83333,37.66667
Ellemeet,10019,Diogenite,1470.0,Fell,1925,51.75,4.0
Emmaville,10033,Eucrite-mmict,127.0,Fell,1900,-29.46667,151.61667
Enshi,10038,H5,8000.0,Fell,1974,30.3,109.5
Ensisheim,10039,LL6,127000.0,Fell,1491,47.86667,7.35
Épinal,10041,H5,277.0,Fell,1822,48.18333,6.46667
Erakot,10042,CM2,113.0,Fell,1940,19.03333,81.89167
Erevan,10043,Howardite,107.2,Fell,1911,40.3,44.5
Ergheo,10044,L5,20000.0,Fell,1889,1.16667,44.16667
Erxleben,10049,H6,2250.0,Fell,1812,52.21667,11.25
Esnandes,10051,L6,1500.0,Fell,1837,46.25,-1.1
Essebi,10055,C2-ung,500.0,Fell,1957,2.88333,30.83333
Estherville,10059,Mesosiderite-A3/4,320000.0,Fell,1879,43.41667,-94.83333
Farmington,10074,L5,89400.0,Fell,1890,39.75,-97.03333
Farmville,10075,H4,56000.0,Fell,1934,35.55,-77.53333
Favars,10078,H5,1500.0,Fell,1844,44.38333,2.81667
Fayetteville,10079,H4,2360.0,Fell,1934,36.05,-94.16667
Feid Chair,10080,H4,380.0,Fell,1875,36.88333,8.45
Felix,10081,CO3.3,3200.0,Fell,1900,32.53333,-87.16667
Fenghsien-Ku,10086,H5,82.0,Fell,1924,34.6,116.75
Ferguson,10088,OC,220.0,Fell,1889,36.1,-81.41667
Fermo,10091,H3-5,10200.0,Fell,1996,43.18111,13.75333
Fisher,10107,L6,17600.0,Fell,1894,47.81667,-96.85
Florence,10111,H3,3640.0,Fell,1922,30.83333,-97.76667
Forest City,10119,H5,152000.0,Fell,1890,43.25,-93.66667
Forest Vale,10120,H4,26000.0,Fell,1942,-33.35,146.85833
Forksville,10123,L6,6067.0,Fell,1924,36.78333,-78.08333
Forsbach,10163,H6,240.0,Fell,1900,50.95,7.31667
Forsyth,10164,L6,16300.0,Fell,1829,33.01667,-83.96667
Fort Flatters,10166,Stone-uncl,,Fell,1944,28.25,7.0
Frankfort (stone),10177,Howardite,650.0,Fell,1868,34.48333,-87.83333
Fuhe,52412,L5,23000.0,Fell,1945,31.47556,113.56694
Fukutomi,10836,L5,11620.0,Fell,1882,33.18333,130.2
Fünen,10838,Stone-uncl,,Fell,1654,55.33333,10.33333
Futtehpur,10839,L6,4000.0,Fell,1822,25.95,80.81667
Fuyang,10840,Stone-uncl,2500.0,Fell,1977,32.9,115.9
Galapian,10846,H6,132.7,Fell,1826,44.3,0.4
Galim (a),10848,LL6,36.1,Fell,1952,7.05,12.43333
Galim (b),10849,EH3/4-an,28.0,Fell,1952,7.05,12.43333
Galkiv,10850,H4,5000.0,Fell,1995,51.68333,30.78333
Gambat,10851,L6,6400.0,Fell,1897,27.35,68.53333
Gao-Guenie,10854,H5,,Fell,1960,11.65,-2.18333
Garhi Yasin,10860,"Iron, IIE",380.0,Fell,1917,27.88333,68.53333
Garland,10861,Diogenite-pm,102.0,Fell,1950,41.68333,-112.13333
Gashua,44882,L6,4162.0,Fell,1984,12.85,11.03333
Gasseltepaoua,10866,H5,,Fell,2000,14.15083,-2.04167
Geidam,10870,H5,725.0,Fell,1950,12.91667,11.91667
Gifu,10914,L6,14290.0,Fell,1909,35.53333,136.88333
Girgenti,10917,L6,18000.0,Fell,1853,37.31667,13.56667
Git-Git,10919,L6,480.0,Fell,1947,9.6,9.91667
Glanerbrug,10923,L/LL5,670.0,Fell,1990,52.2,6.86667
Glanggang,10924,H5-6,1303.0,Fell,1939,-7.25,107.7
Glasatovo,10926,H4,152000.0,Fell,1918,57.35,37.61667
Glatton,10930,L6,767.0,Fell,1991,52.45972,-0.3
Gnadenfrei,10936,H5,1750.0,Fell,1879,50.66667,16.76667
Gopalpur,10948,H6,1600.0,Fell,1865,24.23333,89.05
Gorlovka,10949,H3.7,3618.0,Fell,1974,48.28333,38.08333
Granes,10956,L6,9000.0,Fell,1964,42.9,2.25
Grefsheim,11196,L5,45.5,Fell,1976,60.66667,11.0
Grimsby,50911,H5,215.0,Fell,2009,43.2,-79.61667
Grosnaja,11206,CV3,3500.0,Fell,1861,43.66667,45.38333
Gross-Divina,11207,H5,10500.0,Fell,1837,49.26667,18.71667
Grossliebenthal,11208,L6,8000.0,Fell,1881,46.35,30.58333
Grüneberg,11426,H4,1000.0,Fell,1841,51.93333,15.5
Grzempach,11429,H5,690.0,Fell,1910,52.86667,16.63333
Gualeguaychú,11432,H6,22000.0,Fell,1932,-33.0,-58.61667
Guangmingshan,11435,H5,2910.0,Fell,1996,39.80417,122.76389
Guangnan,11436,L6,,Fell,1983,24.1,105.0
Guangrao,11437,L6,1900.0,Fell,1980,37.1,118.4
Guareña,11439,H6,39000.0,Fell,1892,38.73333,-6.01667
Guêa,11440,Stone-uncl,1915.0,Fell,1891,43.76667,20.23333
Guibga,11442,L5,288.0,Fell,1972,13.5,-0.68333
Guidder,11443,LL5,968.0,Fell,1949,9.91667,13.98333
Gujargaon,11448,H5,2449.0,Fell,1982,22.98333,76.05
Gujba,11449,CBa,100000.0,Fell,1984,11.49167,11.65833
Gumoschnik,11450,H5,5700.0,Fell,1904,42.9,24.7
Gurram Konda,11464,L6,28.0,Fell,1814,13.78333,78.56667
Gursum,11465,H4/5,34650.0,Fell,1981,9.36667,42.41667
Gütersloh,11466,H3/4,1000.0,Fell,1851,51.91667,8.38333
Gyokukei,11467,OC,1320.0,Fell,1930,35.0,127.5
Hachi-oji,11468,H?,0.2,Fell,1817,35.65,139.33333
Hainaut,11472,H3-6,9000.0,Fell,1934,50.31667,3.73333
Hallingeberg,11479,L3.4,1456.0,Fell,1944,57.81667,16.23333
Hamlet,11485,LL4,3710.0,Fell,1959,41.38333,-86.6
Haraiya,11824,Eucrite-mmict,1000.0,Fell,1878,26.8,82.53333
Haripura,11829,CM2,315.0,Fell,1921,28.38333,75.78333
Harleton,11830,L6,8360.0,Fell,1961,32.675,-94.51167
Harrison County,11842,L6,680.0,Fell,1859,38.25,-86.16667
Hashima,11848,H4,1110.6,Fell,1910,35.2945,136.70033
Hassi-Jekna,11852,"Iron, IAB-sHL",1250.0,Fell,1890,28.95,0.81667
Hatford,11855,Stone-uncl,29000.0,Fell,1628,51.65,-1.51667
Haverö,11859,Ureilite,1544.0,Fell,1971,60.24556,22.06194
Hedeskoga,11869,H5,3500.0,Fell,1922,55.46667,13.78333
Hedjaz,11870,L3.7-6,6100.0,Fell,1910,27.33333,35.66667
Heredia,11875,H5,1000.0,Fell,1857,10.0,-84.1
Hessle,11878,H5,20000.0,Fell,1869,59.85,17.66667
Higashi-koen,11883,H5,750.0,Fell,1897,33.6,130.43333
High Possil,11884,L6,4500.0,Fell,1804,55.9,-4.23333
Hiroshima,11889,H5,414.0,Fell,2003,34.45,132.38333
Hoima,44714,H6,167.7,Fell,2003,1.345,31.47278
Hökmark,11893,L4,305.5,Fell,1954,64.43333,21.2
Holbrook,11894,L/LL6,220000.0,Fell,1912,34.9,-110.18333
Holetta,11895,Stone-uncl,1415.0,Fell,1923,9.06667,38.41667
Homestead,11901,L5,230000.0,Fell,1875,41.8,-91.86667
Honolulu,11904,L5,2420.0,Fell,1825,21.3,-157.86667
Hotse,11913,L6,180.0,Fell,1956,35.66667,115.5
Hoxie,11915,OC,266.1,Fell,1963,39.35,-100.45
Hraschina,11916,"Iron, IID",49000.0,Fell,1751,46.1,16.33333
Huaxi,54719,H5,1600.0,Fell,2010,26.46469,106.63241
Hungen,11986,H6,112.0,Fell,1877,50.3,8.91667
Hvittis,11989,EL6,14000.0,Fell,1901,61.18333,22.68333
Ibbenbüren,11992,Diogenite,2000.0,Fell,1870,52.28333,7.7
Ibitira,11993,Eucrite-mmict,2500.0,Fell,1957,-20.0,-45.0
Ibrisim,11994,OC,,Fell,1949,38.0,35.0
Ichkala,11995,H6,3973.0,Fell,1936,58.2,82.93333
Idutywa,12000,H5,3457.0,Fell,1956,-32.1,28.33333
Iguaracu,12003,H5,1200.0,Fell,1977,-23.2,-51.83333
Ijopega,12004,H6,7330.0,Fell,1975,-6.03333,145.36667
Indarch,12027,EH4,27000.0,Fell,1891,39.75,46.66667
Independence,12028,L6,880.0,Fell,1917,39.08333,-94.4
Inner Mongolia,12037,L6,3000.0,Fell,1963,41.0,112.0
Innisfree,12039,L5,4576.0,Fell,1977,53.415,-111.3375
Ipiranga,12043,H6,7000.0,Fell,1972,-25.5,-54.5
Ishinga,12049,H,1300.0,Fell,1954,-8.93333,33.8
Isthilart,12053,H5,3050.0,Fell,1928,-31.18333,-57.95
